DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-05-06,504988,168,77280,206,92690,81.55
2021-05-06,505010,386,409778,567,597369,68.08
2021-05-06,505036,848,336148,1073,426394,79.03
2021-05-06,505075,44857,814155,73853,1335686,60.74
2021-05-06,505141,4900,168754,4900,168754,100.0
2021-05-06,505160,2253,465020,3349,689493,67.27
2021-05-06,505163,3982,1651137,4491,1815980,88.67
2021-05-06,505192,3072,1432781,5653,2648199,54.34
2021-05-06,505196,6500,1408550,15100,3259826,43.05
2021-05-06,505200,9021,22017555,24780,60023034,36.4
2021-05-06,505216,91,55629,118,71445,77.12
2021-05-06,505232,303,224584,305,224985,99.34
2021-05-06,505242,354,368355,432,451465,81.94
2021-05-06,505250,2,113,2,115,100.0
2021-05-06,505255,2209,8978260,4488,18353440,49.22
2021-05-06,505283,15000,5246250,18173,6385947,82.54
2021-05-06,505299,5732,631667,7248,806566,79.08
2021-05-06,505324,3940,42552,4362,47140,90.33
2021-05-06,505355,1352,664576,1904,934096,71.01
2021-05-06,505358,8640,259632,10157,303425,85.06
2021-05-06,505368,484,266394,541,299264,89.46
2021-05-06,505400,3187,223409,3389,237681,94.04
2021-05-06,505412,57,187006,70,227430,81.43
2021-05-06,505509,956,148419,10567,1664203,9.05
2021-05-06,505523,55497,27194,55497,27193,100.0
2021-05-06,505526,34906,2221767,50094,3152850,69.68
2021-05-06,505533,347,150217,683,293641,50.81
2021-05-06,505537,106828,19469403,344494,62529354,31.01
2021-05-06,505590,34456,2735807,48986,3901451,70.34
2021-05-06,505650,5645,44991,6731,53163,83.87
2021-05-06,505681,220,64240,228,66141,96.49
2021-05-06,505688,2236,186595,3281,273264,68.15
2021-05-06,505690,75,6049,82,6959,91.46
2021-05-06,505693,11090,591097,17003,863386,65.22
2021-05-06,505700,17633,1620473,44653,4130514,39.49
2021-05-06,505710,369441,16606373,442056,19753365,83.57
2021-05-06,505711,421,769,421,769,100.0
2021-05-06,505712,2195,162760,2277,172879,96.4
2021-05-06,505714,3988,421931,7885,838874,50.58
2021-05-06,505720,2900,340750,4527,535071,64.06
2021-05-06,505725,1581,282375,1581,282375,100.0
2021-05-06,505726,2399,2265016,7083,6680188,33.87
2021-05-06,505729,15969,653133,21346,884676,74.81
2021-05-06,505737,1278,231127,1278,233685,100.0
2021-05-06,505744,6247,1808507,14429,4173246,43.29
2021-05-06,505750,939,599036,949,593851,98.95
2021-05-06,505790,159,806488,250,1264810,63.6
2021-05-06,505800,758,442862,1501,870581,50.5
2021-05-06,505827,342,65117,390,74555,87.69
2021-05-06,505840,3742,32752,3742,32752,100.0
2021-05-06,505850,111679,6611397,205850,12716675,54.25
2021-05-06,505854,3446,333746,5587,545334,61.68
2021-05-06,505872,2465,1561331,3489,2225959,70.65
2021-05-06,505890,129,132342,290,297380,44.48
2021-05-06,505893,10,1301,14,1800,71.43
2021-05-06,505978,1058,955956,1068,965288,99.06
2021-05-06,506003,3873,16992,3873,16992,100.0
2021-05-06,506022,106018,9356089,386584,34773610,27.42
2021-05-06,506074,2453,73345,2811,86045,87.26
2021-05-06,506076,2420,2536765,8005,8280797,30.23
2021-05-06,506079,1,5,1,5,100.0
2021-05-06,506105,544,45914,673,56965,80.83
2021-05-06,506109,2338,239879,2881,289063,81.15
2021-05-06,506122,175,7604,240,10666,72.92
2021-05-06,506128,960,21473,960,21473,100.0
2021-05-06,506146,27247,18801,33602,23337,81.09
2021-05-06,506184,27,114,47,195,57.45
2021-05-06,506186,2,29,2,29,100.0
2021-05-06,506194,799,47236,799,47236,100.0
2021-05-06,506197,55500,5763675,96182,10034590,57.7
2021-05-06,506222,10499,12929519,19443,24023132,54.0
2021-05-06,506235,184862,24845453,539844,71664671,34.24
2021-05-06,506248,17587,1727044,21592,2134779,81.45
2021-05-06,506260,45763,6532669,59103,8479042,77.43
2021-05-06,506261,16494,959951,28283,1668956,58.32
2021-05-06,506285,188,1003620,399,2125471,47.12
2021-05-06,506365,1453,39956,1453,39956,100.0
2021-05-06,506390,6596,2791428,12774,5404678,51.64
2021-05-06,506395,8478,6187245,26029,18935492,32.57
2021-05-06,506401,62485,118112272,279093,535806853,22.39
2021-05-06,506405,11854,3742308,15334,4865698,77.31
2021-05-06,506414,28014,8916857,38350,12327134,73.05
2021-05-06,506480,605,121696,836,170639,72.37
2021-05-06,506520,10260,42066,16178,66822,63.42
2021-05-06,506522,5,9595,13,25314,38.46
2021-05-06,506525,7056,877414,10927,1356814,64.57
2021-05-06,506528,117,62625,132,71694,88.64
2021-05-06,506532,12320,2311848,14613,2744907,84.31
2021-05-06,506543,512,1889,512,1889,100.0
2021-05-06,506579,491,447940,787,720062,62.39
2021-05-06,506590,33242,6756437,60776,12380856,54.7
2021-05-06,506597,6556,2311646,8818,3148143,74.35
2021-05-06,506605,184,89397,323,151009,56.97
2021-05-06,506618,1877,1949640,2132,2207132,88.04
2021-05-06,506642,66398,2533084,66398,2533083,100.0
2021-05-06,506655,5191,3293950,32288,20852547,16.08
2021-05-06,506685,27846,10855764,35028,13875926,79.5
2021-05-06,506687,3298,4387660,3598,4791138,91.66
2021-05-06,506690,2005,661550,3979,1315126,50.39
2021-05-06,506734,1337,99340,1637,120925,81.67
2021-05-06,506767,5021,40868932,9473,76438007,53.0
2021-05-06,506808,5704,70844,6702,83830,85.11
2021-05-06,506820,3598,13731408,5579,21307794,64.49
2021-05-06,506852,78988,8037029,94104,9536833,83.94
2021-05-06,506854,44278,12265006,76921,21160714,57.56
2021-05-06,506858,623,23060,623,23060,100.0
2021-05-06,506863,65,62,65,61,100.0
2021-05-06,506879,19629,4995581,28704,7339903,68.38
2021-05-06,506910,301,18662,402,25122,74.88
2021-05-06,506919,11760,2822400,14534,3512660,80.91
2021-05-06,506943,7567,10997878,20594,30037705,36.74
2021-05-06,506975,100,415,100,415,100.0
2021-05-06,506981,1618,162043,4545,463662,35.6
2021-05-06,507155,1663,61230,1663,61230,100.0
2021-05-06,507180,13095,950043,14815,1072106,88.39
2021-05-06,507205,34520,1422224,62806,2602706,54.96
2021-05-06,507300,48,90998,48,90998,100.0
2021-05-06,507315,81739,1065877,120026,1582013,68.1
2021-05-06,507410,3856,239651,7649,476401,50.41
2021-05-06,507435,879,57505,879,57505,100.0
2021-05-06,507438,123,51562,187,79141,65.78
2021-05-06,507442,46798,370641,73282,582766,63.86
2021-05-06,507450,1570,12461,1570,12461,100.0
2021-05-06,507474,4166,216841,4649,240593,89.61
2021-05-06,507486,2200,68050,2200,68050,100.0
2021-05-06,507488,506,202578,579,233570,87.39
2021-05-06,507490,142074,1963463,243200,3265052,58.42
2021-05-06,507498,15864,109397,15864,109397,100.0
2021-05-06,507508,1091,5314,1091,5332,100.0
2021-05-06,507514,9440,294056,13226,410691,71.37
2021-05-06,507515,6092,117269,6092,117269,100.0
2021-05-06,507522,1919,4693,1919,4693,100.0
2021-05-06,507525,152,108680,153,109202,99.35
2021-05-06,507526,8384,3497386,12074,5060917,69.44
2021-05-06,507552,15176,777770,24722,1258251,61.39
